slug,full_name,user_role,categories,work_subcategory_slugs,location,address,phone,public_email,website,business_hours,services,languages,bio,seo_title,seo_meta_description,seo_slug,seo_keywords,directory_claim_email
multihogar-alicante,MultiHogar Alicante,company,Plumbing|Electrician|Windows,plumbing-repair|plumbing-install|electro-wiring|electro-outlets|electro-lighting|windows-repair,"Alicante, Valencia, Spain","Calle Xixona 16, El Campello, Alicante",+34 627 378 977,,https://multihogaralicante.es/,,Emergency plumbing|Authorized electrical repairs and renovations|Blind and shutter repairs|Home maintenance call-outs,es,"Home services company based in El Campello (Alicante province). Public contact lists plumbing, authorized electrical work, shutter repairs, and general residential call-outs.",MultiHogar Alicante — Plumbing in Alicante | DImarket,"MultiHogar Alicante offers emergency plumbing, authorized electrical repairs and renovations, blind and shutter repairs in Alicante, Spain. Find contact details",multihogar-alicante,MultiHogar Alicante|Plumbing|Electrician|Windows|Alicante|Valencia|Spain|Emergency plumbing|Authorized electrical repairs and renovations|Blind and shutter repairs|Home maintenance call-outs|DImarket,directory+multihogar-alicante@users.dimarket.app
reformas-alacant,Reformas Alacant,company,Renovation|Plumbing|Electrician|Painting|Drywall|Doors|Demolition,plumbing-install|plumbing-showers|electro-wiring|electro-lighting|painting-walls|drywall-install|drywall-suspended-ceiling|carpentry-doors-install|masonry-partitions|tiling-bathroom|tiling-kitchen|demolition-partitions,"Alicante, Valencia, Spain",,+34 634 579 438,,https://reformasalacant.es/,,Full apartment renovations|Kitchen and bathroom renovations|Plumbing and electrical|Carpentry and drywall|Painting and finishes|Commercial premises fit-out,es|en,"Alicante renovation company coordinating in-house plumbing, electrical, carpentry, drywall, masonry, and painting trades. Public contact lists full-home, kitchen, bathroom, and commercial premises renovations across the city.",Reformas Alacant — Renovation in Alicante | DImarket,"Reformas Alacant offers full apartment renovations, kitchen and bathroom renovations, plumbing and electrical in Alicante, Spain. Find contact details on DImark",reformas-alacant,Reformas Alacant|Renovation|Plumbing|Electrician|Painting|Drywall|Doors|Demolition|Alicante|Valencia|Spain|Full apartment renovations|Kitchen and bathroom renovations|Plumbing and electrical|Carpentry and drywall|DImarket,directory+reformas-alacant@users.dimarket.app
reformas-esquivel-alicante,Reformas Esquivel,professional,Plumbing|Painting|Renovation|Tiles|Doors|Windows,plumbing-repair|plumbing-install|plumbing-showers|painting-walls|tiling-install|masonry-partitions|carpentry-doors-install|windows-install,"Alicante, Valencia, Spain",,,,https://www.reformasesquivel.com/,,Plumbing repairs and installations|Masonry and tiling|Painting|Door and window fitting,es,"Independent renovation trades business serving Alicante. Public service list includes plumbing, masonry, tiling, painting, and door/window fitting for residential clients.",Reformas Esquivel — Plumbing in Alicante | DImarket,"Reformas Esquivel offers plumbing repairs and installations, masonry and tiling, painting in Alicante, Spain. Find contact details on DImarket.",reformas-esquivel-alicante,Reformas Esquivel|Plumbing|Painting|Renovation|Tiles|Doors|Windows|Alicante|Valencia|Spain|Plumbing repairs and installations|Masonry and tiling|Door and window fitting|DImarket,directory+reformas-esquivel-alicante@users.dimarket.app
urbasan-alicante,Urbasan Reformas & Interiorismo,company,Renovation|Interior Design|Tiles|Plumbing|Electrician,design-engineering-interior|tiling-bathroom|tiling-kitchen|plumbing-install|electro-wiring|painting-walls|carpentry-doors-install,"Alicante, Valencia, Spain","Calle San Agatángelo 13, 03007 Alicante",+34 965 133 046,info@urbasan.com,https://www.urbasan.com/,,Turnkey renovations|Kitchen renovations|Bathroom renovations|Interior design coordination,es,Alicante renovation and interior-design company with a public showroom address on Calle San Agatángelo. Listed work includes turnkey home renovations plus kitchen and bathroom projects.,Urbasan Reformas & Interiorismo — Renovation in Alicante | DImarket,"Urbasan Reformas & Interiorismo offers turnkey renovations, kitchen renovations, bathroom renovations in Alicante, Spain. Find contact details on DImarket.",urbasan-alicante,Urbasan Reformas & Interiorismo|Renovation|Interior Design|Tiles|Plumbing|Electrician|Alicante|Valencia|Spain|Turnkey renovations|Kitchen renovations|Bathroom renovations|Interior design coordination|DImarket,directory+urbasan-alicante@users.dimarket.app
bilbao-fontaneros,Bilbao Fontaneros,company,Plumbing|HVAC|Renovation,plumbing-repair|plumbing-install|plumbing-heating|plumbing-boilers|plumbing-showers|hvac-heating|tiling-bathroom,"Bilbao, Basque Country, Spain","Camino Ugasko 19, 48014 Bilbao",+34 944 483 647,,https://www.bilbaofontaneros.com/,Mon–Fri 08:00–20:00; Sat 09:00–15:00,Plumbing repairs and installations|Emergency plumbing within published hours|Bathroom renovations and shower tray conversions|Heating and hot-water systems,es|eu,"Bilbao plumbing company with a published address in Ugasko and weekday/Saturday hours. Public services cover plumbing repairs and installations, bathroom renovations, heating/hot water, and urgent call-outs within stated hours across Bizkaia.",Bilbao Fontaneros — Plumbing in Bilbao | DImarket,"Bilbao Fontaneros offers plumbing repairs and installations, emergency plumbing within published hours, bathroom renovations and shower tray conversions in Bilb",bilbao-fontaneros,Bilbao Fontaneros|Plumbing|HVAC|Renovation|Bilbao|Basque Country|Spain|Plumbing repairs and installations|Emergency plumbing within published hours|Bathroom renovations and shower tray conversions|Heating and hot-water systems|DImarket,directory+bilbao-fontaneros@users.dimarket.app
reformas-vilar-barcelona,Reformas Vilar,company,Renovation|Plumbing|Electrician|Painting|Drywall|Doors|Tiles,plumbing-install|electro-wiring|painting-walls|drywall-install|masonry-partitions|carpentry-doors-install|tiling-bathroom|tiling-kitchen|windows-aluminum,"Esplugues de Llobregat, Catalonia, Spain","Carrer dels Caquis 7, 08950 Esplugues de Llobregat, Barcelona",+34 678 824 747,info@reformasvilar.com,https://reformasvilar.com/,,"Full home renovations|Bathroom and kitchen renovations|Commercial premises fit-out|Drywall, painting, carpentry|Plumbing and electrical works|Facade rehabilitation",es|ca,"Barcelona-area renovation company based in Esplugues de Llobregat. Public contact lists full and partial renovations of homes, bathrooms, kitchens, and commercial premises with plumbing, electrical, drywall, painting, and carpentry trades.",Reformas Vilar — Renovation in Esplugues de Llobregat | DImarket,"Reformas Vilar offers full home renovations, bathroom and kitchen renovations, commercial premises fit-out in Esplugues de Llobregat, Spain. Find contact detail",reformas-vilar-barcelona,"Reformas Vilar|Renovation|Plumbing|Electrician|Painting|Drywall|Doors|Tiles|Esplugues de Llobregat|Catalonia|Spain|Full home renovations|Bathroom and kitchen renovations|Commercial premises fit-out|Drywall, painting, carpentry|DImarket",directory+reformas-vilar-barcelona@users.dimarket.app
fontaneros-granada,Fontaneros Granada,company,Plumbing|Renovation,plumbing-repair|plumbing-install|plumbing-boilers|plumbing-showers|tiling-bathroom,"Granada, Andalusia, Spain",,+34 958 223 491,,https://granadafontaneros.com/,24/7 emergency call-outs,24h plumbing emergencies|Leak and blockage repairs|Water-heater and boiler work|Bathroom renovations and bathtub-to-shower conversions,es,"Granada plumbing company publicly listing round-the-clock emergency call-outs plus scheduled installations, boiler/heater work, and bathroom renovation services across Granada city and nearby municipalities.",Fontaneros Granada — Plumbing in Granada | DImarket,"Fontaneros Granada offers 24h plumbing emergencies, leak and blockage repairs, water-heater and boiler work in Granada, Spain. Find contact details on DImarket.",fontaneros-granada,Fontaneros Granada|Plumbing|Renovation|Granada|Andalusia|Spain|24h plumbing emergencies|Leak and blockage repairs|Water-heater and boiler work|Bathroom renovations and bathtub-to-shower conversions|DImarket,directory+fontaneros-granada@users.dimarket.app
instalaciones-y-reformas-barcelona,Instalaciones y Reformas,company,Electrician|Renovation,electro-wiring|electro-panels|electro-lighting|electro-outlets|plumbing-install,"L'Hospitalet de Llobregat, Catalonia, Spain","Calle Miralta 1, tienda 1, L'Hospitalet de Llobregat",+34 933 377 548,info@instalacionesyreformas.es,https://www.instalacionesyreformas.es/,,Electrical installations and reforms in Barcelona|Related renovation support works,es|ca,Electrical installation and renovation company with a published shop address in L’Hospitalet de Llobregat serving the Barcelona area. Public phones and email are listed for electrical reforms and related works.,Instalaciones y Reformas — Electrician in L'Hospitalet de Llobregat | ,"Instalaciones y Reformas offers electrical installations and reforms in barcelona, related renovation support works in L'Hospitalet de Llobregat, Spain. Find co",instalaciones-y-reformas-barcelona,Instalaciones y Reformas|Electrician|Renovation|L'Hospitalet de Llobregat|Catalonia|Spain|Electrical installations and reforms in Barcelona|Related renovation support works|DImarket,directory+instalaciones-y-reformas-barcelona@users.dimarket.app
construcciones-carmona-madrid,Construcciones Carmona,company,Construction Company|Renovation|Plumbing|Electrician|HVAC|Painting|Doors,masonry-brick|masonry-partitions|plumbing-install|electro-wiring|hvac-ac|painting-walls|carpentry-doors-install|carpentry-wood-structures,"Madrid, Madrid, Spain","Calle Prado Egido 40, 28492 Mataelpino (El Boalo), Madrid",+34 613 014 831,,https://construccionesreformasmadrid.es/,Mon–Fri 11:00–14:00 and 18:00–20:00,Full renovations of homes and premises|Masonry|Plumbing and electrical|Carpentry|Climate systems|Painting and finishes,es,"Family construction and renovation company based in Mataelpino, covering Madrid city and the northwest sierra municipalities. Public hours and trades include masonry, plumbing, electrical, carpentry, climate, and painting.",Construcciones Carmona — Construction Company in Madrid | DImarket,"Construcciones Carmona offers full renovations of homes and premises, masonry, plumbing and electrical in Madrid, Spain. Find contact details on DImarket.",construcciones-carmona-madrid,Construcciones Carmona|Construction Company|Renovation|Plumbing|Electrician|HVAC|Painting|Doors|Madrid|Spain|Full renovations of homes and premises|Masonry|Plumbing and electrical|Carpentry|DImarket,directory+construcciones-carmona-madrid@users.dimarket.app
jm-reformas-elite-madrid,JM Reformas Élite S.L.,company,Renovation|Demolition|Plumbing|Electrician|Painting|Tiles,demolition-partitions|demolition-walls|masonry-partitions|plumbing-install|electro-wiring|painting-walls|tiling-install|carpentry-doors-install,"Madrid, Madrid, Spain","Calle Ricardo Beltrán y Rozpide 7, 28026 Madrid",+34 624 614 361,jmreformaselite@gmail.com,https://jmreformaselite.com/,,Full renovations|Bathroom and kitchen renovations|Demolition and masonry|Plumbing and electrical|Painting and tiling finishes,es,"Madrid renovation company (S.L.) with a published address in the south of the city. Public services span demolition, masonry, plumbing, electrical work, painting, tiling, and full home renovations.",JM Reformas Élite S.L. — Renovation in Madrid | DImarket,"JM Reformas Élite S.L. offers full renovations, bathroom and kitchen renovations, demolition and masonry in Madrid, Spain. Find contact details on DImarket.",jm-reformas-elite-madrid,JM Reformas Élite S.L.|Renovation|Demolition|Plumbing|Electrician|Painting|Tiles|Madrid|Spain|Full renovations|Bathroom and kitchen renovations|Demolition and masonry|Plumbing and electrical|DImarket,directory+jm-reformas-elite-madrid@users.dimarket.app
refiser-madrid,REFISER — Obras y Reformas,company,Renovation|Plumbing|Electrician|Painting|Construction Company,masonry-partitions|plumbing-install|plumbing-repair|plumbing-heating|electro-wiring|electro-outlets|painting-walls|carpentry-doors-install,"Madrid, Madrid, Spain","Calle Ebanistería 3, 28037 Madrid",+34 638 419 932,,https://refiser.com/,,Full renovations of homes and premises|Masonry|Plumbing and heating|Electrical installation and repairs|Painting and carpentry,es,"Madrid renovation and building-works company with a public office on Calle Ebanistería. Listed trades include masonry, plumbing, electrical work, painting, and carpentry for homes and commercial premises.",REFISER — Obras y Reformas — Renovation in Madrid | DImarket,"REFISER — Obras y Reformas offers full renovations of homes and premises, masonry, plumbing and heating in Madrid, Spain. Find contact details on DImarket.",refiser-madrid,REFISER — Obras y Reformas|Renovation|Plumbing|Electrician|Painting|Construction Company|Madrid|Spain|Full renovations of homes and premises|Masonry|Plumbing and heating|Electrical installation and repairs|DImarket,directory+refiser-madrid@users.dimarket.app
reformas-multiservicios-moraga-madrid,Reformas y Multiservicios Moraga,company,Plumbing|Renovation|Electrician|Painting|Flooring|Doors,plumbing-repair|plumbing-boilers|plumbing-showers|electro-wiring|painting-walls|flooring-laminate|carpentry-doors-install,"Madrid, Madrid, Spain","Calle Menasalbas 2, Madrid",+34 625 112 025,,https://www.reformasymultiservicios.es/,,Plumbing call-outs and boiler work|Bathroom renovations|Kitchen renovations|Electrical and painting works|Floating floors and doors,es,"Madrid multi-service renovation and plumbing company with a public address on Calle Menasalbas. Listed work includes plumbing call-outs, bathroom and kitchen renovations, electrical work, painting, floors, and doors.",Reformas y Multiservicios Moraga — Plumbing in Madrid | DImarket,"Reformas y Multiservicios Moraga offers plumbing call-outs and boiler work, bathroom renovations, kitchen renovations in Madrid, Spain. Find contact details on ",reformas-multiservicios-moraga-madrid,Reformas y Multiservicios Moraga|Plumbing|Renovation|Electrician|Painting|Flooring|Doors|Madrid|Spain|Plumbing call-outs and boiler work|Bathroom renovations|Kitchen renovations|Electrical and painting works|DImarket,directory+reformas-multiservicios-moraga-madrid@users.dimarket.app
grupo-reinsol-malaga,Grupo Reinsol,company,Construction Company|Renovation|Interior Design|Plumbing|Electrician,masonry-brick|masonry-partitions|plumbing-install|electro-wiring|painting-walls|facade-repair|design-engineering-interior,"Málaga, Andalusia, Spain","Calle Sebastián Souvirón 8, 1º, 29005 Málaga",+34 661 948 116,reinsol@gruporeinsol.com,https://www.gruporeinsol.com/,,Full home renovations|Kitchen and bathroom renovations|Commercial and office renovations|Facade and building rehabilitation|Interior design coordination|Community maintenance works,es,"Málaga construction and renovation company with a published city-centre office. Public services include full renovations, kitchens, bathrooms, commercial spaces, facade rehabilitation, interior design, and community maintenance.",Grupo Reinsol — Construction Company in Málaga | DImarket,"Grupo Reinsol offers full home renovations, kitchen and bathroom renovations, commercial and office renovations in Málaga, Spain. Find contact details on DImark",grupo-reinsol-malaga,Grupo Reinsol|Construction Company|Renovation|Interior Design|Plumbing|Electrician|Málaga|Andalusia|Spain|Full home renovations|Kitchen and bathroom renovations|Commercial and office renovations|Facade and building rehabilitation|DImarket,directory+grupo-reinsol-malaga@users.dimarket.app
insergan-malaga,Insergan Servicios y Mantenimientos S.L.,company,Construction Company|Renovation,masonry-brick|masonry-partitions|facade-repair|plumbing-install|electro-wiring|painting-walls,"Málaga, Andalusia, Spain","Calle La Flauta Mágica 7, 29006 Málaga",+34 952 313 006,,https://insergan.com/,,Building rehabilitation and renovations|Residential and commercial fit-out|Community repair works|Technical advice on maintenance and rehabilitation,es,"Family construction and maintenance company in Málaga. Public listings cover rehabilitation, renovations of homes and commercial premises, community repairs, and technical advice for building maintenance in Málaga and eastern Andalusia.",Insergan Servicios y Mantenimientos S.L. — Construction Company in Mál,"Insergan Servicios y Mantenimientos S.L. offers building rehabilitation and renovations, residential and commercial fit-out, community repair works in Málaga, S",insergan-malaga,Insergan Servicios y Mantenimientos S.L.|Construction Company|Renovation|Málaga|Andalusia|Spain|Building rehabilitation and renovations|Residential and commercial fit-out|Community repair works|Technical advice on maintenance and rehabilitation|DImarket,directory+insergan-malaga@users.dimarket.app
reformas-group-malaga,Reformas Group S.L.,company,Renovation|Plumbing|Electrician|Tiles|Painting,masonry-partitions|plumbing-install|electro-wiring|tiling-bathroom|tiling-kitchen|painting-walls|carpentry-doors-install,"Málaga, Andalusia, Spain","Calle Emilio López Cerezo 5, 29006 Málaga",+34 684 744 071,presupuestos@reformasgroup.com,https://reformasgroup.es/,,Full and partial renovations|Kitchen and bathroom renovations|Chalet and apartment renovations|Commercial and office fit-out on the Costa del Sol,es|en,"Málaga renovation company (S.L.) with a published office on Emilio López Cerezo. Public listings cover full and partial renovations of homes, chalets, kitchens, bathrooms, offices, and commercial spaces in Málaga and Costa del Sol municipalities.",Reformas Group S.L. — Renovation in Málaga | DImarket,"Reformas Group S.L. offers full and partial renovations, kitchen and bathroom renovations, chalet and apartment renovations in Málaga, Spain. Find contact detai",reformas-group-malaga,Reformas Group S.L.|Renovation|Plumbing|Electrician|Tiles|Painting|Málaga|Andalusia|Spain|Full and partial renovations|Kitchen and bathroom renovations|Chalet and apartment renovations|Commercial and office fit-out on the Costa del Sol|DImarket,directory+reformas-group-malaga@users.dimarket.app
castillo-reformas-murcia,Castillo Reformas,company,Renovation|Plumbing|Electrician|Tiles|Flooring|Drywall|Painting,tiling-bathroom|tiling-kitchen|flooring-laminate|drywall-install|plumbing-install|electro-wiring|painting-walls|masonry-partitions|carpentry-doors-install|facade-repair,"Murcia, Murcia, Spain",,+34 619 861 323,hola@castilloreformas.com,https://www.castilloreformas.com/,,"Full renovations|Kitchen and bathroom renovations|Tiling and flooring|Drywall, plumbing, electrical, carpentry|Facade rehabilitation",es,"Murcia-region renovation company with a published phone and email. Public services include full renovations, kitchens, bathrooms, tiling, flooring, drywall, plumbing, electrical work, carpentry, and facade rehabilitation across Murcia and nearby towns.",Castillo Reformas — Renovation in Murcia | DImarket,"Castillo Reformas offers full renovations, kitchen and bathroom renovations, tiling and flooring in Murcia, Spain. Find contact details on DImarket.",castillo-reformas-murcia,"Castillo Reformas|Renovation|Plumbing|Electrician|Tiles|Flooring|Drywall|Painting|Murcia|Spain|Full renovations|Kitchen and bathroom renovations|Tiling and flooring|Drywall, plumbing, electrical, carpentry|DImarket",directory+castillo-reformas-murcia@users.dimarket.app
